City,Abbreviation
Atlanta,ATL
Boston,BOS
Calgary,CAL
Charleston,CHR
Chicago,CHI
Dallas,DAL
Denver,DEN
Duluth,DUL
El Paso,ELP
Helena,HEL
Houston,HOU
Kansas City,KC
Las Vegas,LV
Little Rock,LR
Los Angeles,LA
Miami,MIA
Montreal,MTL
Nashville,NSH
New Orleans,NO
New York,NYC
Oklahoma City,OKC
Omaha,OMA
Phoenix,PHO
Pittsburgh,PIT
Portland,POR
Raleigh,RAL
Saint Louis,STL
Salt Lake City,SLC
San Francisco,SFO
Santa Fe,SFE
Sault St. Marie,SSM
Seattle,SEA
Toronto,TOR
Vancouver,VAN
Washington,WSH
Winnipeg,WPG
